Date,Open,High,Low,Close,Volume
2005-02-25,22.913,23.255,22.811,23.255,697695
2005-02-28,23.255,23.637,23.118,23.298,1153998
2005-03-01,23.255,23.767,23.135,23.698,1129160
2005-03-02,23.784,24.783,23.723,24.704,4122668
2005-03-03,24.704,24.969,24.14,24.473,1578430
2005-03-04,24.519,24.622,24.168,24.528,1160676
2005-03-07,24.534,24.63,24.278,24.534,650239
2005-03-08,24.534,24.738,24.391,24.519,728514
2005-03-09,24.447,24.586,24.26,24.33,657385
2005-03-10,24.234,24.399,24.049,24.287,400052
2005-03-11,24.234,24.622,24.187,24.534,472474
2005-03-14,24.704,24.929,24.577,24.81,804216
2005-03-15,24.876,25.559,24.876,25.242,1506362
2005-03-16,25.251,25.277,25.062,25.089,953151
2005-03-17,25.029,25.125,24.834,25.002,625276
2005-03-18,25.134,25.214,24.278,24.561,993461
2005-03-21,24.382,24.543,24.1,24.473,347208
2005-03-22,24.473,24.747,24.195,24.26,612270
2005-03-23,24.149,24.226,23.826,24.013,386111
2005-03-24,23.904,24.21,23.536,23.954,665942
2005-03-28,24.04,24.416,24.04,24.26,396069
2005-03-29,24.234,24.646,24.159,24.226,599146
2005-03-30,24.133,24.987,23.98,24.81,954443
2005-03-31,24.81,25.303,24.704,25.002,1116503
2005-04-01,25.062,25.116,24.44,24.5,548175
2005-04-04,24.528,24.858,24.447,24.747,441304
2005-04-05,24.747,25.134,24.747,24.903,1087206
2005-04-06,24.834,24.937,24.696,24.73,1225714
2005-04-07,24.604,24.834,24.252,24.577,482319
2005-04-08,24.447,24.447,23.563,23.904,1977429
2005-04-11,23.963,24.1,23.723,23.835,668637
2005-04-12,23.919,24.713,23.792,24.473,837609
2005-04-13,24.416,24.586,24.234,24.366,995452
2005-04-14,24.356,24.764,24.269,24.338,1493004
2005-04-15,24.149,24.321,23.672,23.767,1464412
2005-04-18,23.767,23.997,23.553,23.817,1364811
2005-04-19,23.997,24.068,23.767,23.937,1082637
2005-04-20,24.091,24.269,23.339,23.459,590828
2005-04-21,23.589,23.98,23.33,23.33,956317
2005-04-22,23.339,23.339,22.384,22.794,2586542
2005-04-25,22.71,23.06,22.512,22.717,1244932
2005-04-26,22.503,22.979,22.085,22.58,1228176
2005-04-27,22.453,23.246,22.417,23.099,1378637
2005-04-28,23.099,23.135,22.683,22.743,554737
2005-04-29,22.989,23.209,22.147,22.752,1068223
2005-05-02,23.052,23.255,22.085,22.54,1253135
2005-05-03,22.54,22.979,22.512,22.726,599734
2005-05-04,22.905,22.998,22.556,22.957,614730
2005-05-05,22.869,22.869,21.959,22.187,2033914
2005-05-06,22.358,22.358,21.83,21.966,832340
2005-05-09,21.852,21.983,21.573,21.83,1093298
2005-05-10,21.547,21.761,20.908,21.412,1738733
2005-05-11,21.465,21.659,21.079,21.376,1050648
2005-05-12,21.529,21.712,21.121,21.164,487942
2005-05-13,21.172,21.325,20.744,20.943,1019944
2005-05-16,20.992,21.616,20.968,21.599,825776
2005-05-17,21.412,21.839,21.334,21.625,819683
2005-05-18,21.677,22.247,21.334,22.197,1190913
2005-05-19,22.828,23.596,22.306,22.769,1663741
2005-05-20,22.613,22.683,22.272,22.613,716799
2005-05-23,22.605,22.769,22.358,22.392,928775
2005-05-24,22.231,22.622,22.231,22.587,1006119
2005-05-25,22.445,22.641,22.256,22.622,744805
2005-05-26,22.605,22.761,22.512,22.571,425955
2005-05-27,22.445,22.701,22.401,22.58,417398
2005-05-31,22.187,22.666,22.129,22.54,1035296
2005-06-01,22.445,23.06,22.392,22.631,482199
2005-06-02,22.503,22.957,22.462,22.828,860225
2005-06-03,22.853,23.144,22.717,22.769,894208
2005-06-06,22.835,22.957,22.726,22.869,646610
2005-06-07,22.922,23.108,22.649,22.701,492746
2005-06-08,22.785,22.785,22.033,22.12,1003307
2005-06-09,22.05,22.187,21.934,22.101,1530855
2005-06-10,22.187,22.214,21.94,22.154,469425
2005-06-13,22.101,22.316,21.973,22.197,780073
2005-06-14,22.068,22.666,22.068,22.666,774214
2005-06-15,22.631,22.726,22.264,22.417,1101270
2005-06-16,22.325,22.325,21.889,21.983,1511754
2005-06-17,22.187,22.231,21.668,21.761,1903373
