Date,Open,High,Low,Close,Volume
2000-01-03,16.664,16.664,16.235,16.235,13126
2000-01-04,16.187,16.225,15.568,15.759,4832
2000-01-05,15.71,15.759,14.998,15.521,16385
2000-01-06,15.71,16.187,15.71,15.71,9663
2000-01-07,16.169,16.664,16.169,16.664,10187
2000-01-10,16.664,17.615,16.664,17.52,24260
2000-01-11,17.52,17.52,17.045,17.045,14284
2000-01-12,17.14,17.14,16.474,16.996,9451
2000-01-13,16.949,16.949,16.187,16.711,8191
2000-01-14,16.519,16.664,16.187,16.454,8191
2000-01-17,16.169,16.245,15.474,15.558,7457
2000-01-18,15.426,15.426,14.665,15.045,20270
2000-01-19,14.758,14.949,14.665,14.665,26360
2000-01-20,14.711,15.045,14.665,14.758,14492
2000-01-21,14.949,14.998,14.665,14.854,10608
2000-01-24,15.045,15.673,15.045,15.445,12499
2000-01-25,15.614,15.71,15.234,15.436,21844
2000-01-26,15.187,15.282,14.854,15.187,7140
2000-01-27,15.234,15.71,14.854,15.614,28356
2000-01-28,15.33,15.949,15.139,15.474,13653
2000-01-31,15.71,15.71,15.094,15.33,7667
2000-02-01,15.33,15.388,15.139,15.378,5986
2000-02-02,15.187,15.388,15.045,15.359,9975
2000-02-03,15.168,16.187,15.045,16.187,29195
2000-02-04,16.169,17.14,15.71,16.806,36967
2000-02-07,16.711,17.425,16.711,17.13,40748
2000-02-08,17.035,17.14,16.474,16.664,26255
2000-02-09,16.853,18.092,16.853,18.044,57237
2000-02-10,17.996,18.426,17.663,18.139,78136
2000-02-11,18.139,18.378,17.14,17.615,71940
2000-02-14,18.187,19.044,17.949,18.52,66268
2000-02-15,18.568,19.044,18.329,18.329,27935
2000-02-16,18.568,18.568,17.615,18.082,13968
2000-02-17,17.711,18.568,17.711,18.281,19113
2000-02-18,18.281,18.568,17.996,18.378,26991
2000-02-21,18.092,18.378,17.615,18.092,26991
2000-02-22,18.378,18.378,17.615,17.949,9872
2000-02-23,18.044,18.092,17.14,17.721,21424
2000-02-24,17.624,17.9,17.14,17.321,14284
2000-02-25,17.13,17.234,16.425,16.664,24365
2000-02-28,16.949,17.14,16.378,16.664,13443
2000-02-29,17.045,17.14,16.568,16.664,11133
2000-03-01,16.949,17.996,16.853,17.615,37389
2000-03-02,17.425,18.568,17.425,18.281,29511
2000-03-03,18.092,19.281,18.092,18.9,27725
